,,,,,,,,,,,,,
,,,,,,,,Home,Browse,FAQs,Immune Signaling Pathways,Cancer Signaling Pathways,Publications
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,TCR Signaling Pathway, Accession number : NetPath_11,,,,,,,,,,,
,"The T cell receptor complex includes the ligand binding TCR alpha and TCR beta chains, along with CD3 gamma, delta, epsilon and zeta subunits. This receptor complex is stimulated by antigen peptides presented by the Major Histocompatibility Complex proteins present on T cells and antigen presenting cells. Stimulation of the T cell receptor leads to the activation of NFkB and NFAT signaling modules which play a key role in T cell receptor signaling.",  Transcriptional Gene Regulation Statistics,,,,,,,,,,,
,, Upregulated genes,  449,,,,,,,,,,
,Please cite the following reference for this pathway:, Downregulated genes,  178,,,,,,,,,,
,,,,,,,,,,,,,
,"Kandasamy, K. and Mohan, SS. et al.(2010) NetPath: A public resource of curated signal transduction pathways. Genome Biology. 11:R3.[PubMed]",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,  Transcriptionally regulated genes by TCR pathway (Total = 627),,,,,,,,,,,,
,  Transcriptionally Upregulated Genes,,,,,,,,,,,,
,Gene Symbol,Experiment type,,Experiment system,PubMed,Transcription regulators,Regulator type,,,,,,
,NFKBIA,Non-Microarray; Microarray,,,,,,,,,,,
,CCL4,Microarray,,,,,,,,,,,
,RYK,Microarray,,,,,,,,,,,
,RPS29,Microarray,,,,,,,,,,,
,RPS24,Microarray,,,,,,,,,,,
,RPS20,Microarray,,,,,,,,,,,
,RPS4Y1,Microarray,,,,,,,,,,,
,RPS14,Microarray,,,,,,,,,,,
,RPS3A,Microarray,,,,,,,,,,,
,RPL41,Microarray,,,,,,,,,,,
,RPL28,Microarray,,,,,,,,,,,
,RPL37,Microarray,,,,,,,,,,,
,RPL7A,Microarray,,,,,,,,,,,
,RPL6,Microarray,,,,,,,,,,,
,RFC2,Microarray,,,,,,,,,,,
,RAD23B,Microarray,,,,,,,,,,,
,RAB2,Microarray,,,,,,,,,,,
,PTMA,Microarray,,,,,,,,,,,
,PSMB8,Microarray,,,,,,,,,,,
,PSMD12,Microarray,,,,,,,,,,,
,PSMA6,Microarray,,,,,,,,,,,
,PSG3,Microarray,,,,,,,,,,,
,PSMA5,Microarray,,,,,,,,,,,
,PPA1,Microarray,,,,,,,,,,,
,PKIA,Microarray,,,,,,,,,,,
,POLR2K,Microarray,,,,,,,,,,,
,PLA2G4A,Microarray,,,,,,,,,,,
,PKLR,Microarray,,,,,,,,,,,
,PHB,Microarray,,,,,,,,,,,
,PGGT1B,Microarray,,,,,,,,,,,
,PGAM1,Microarray,,,,,,,,,,,
,PDE3B,Microarray,,,,,,,,,,,
,PFDN4,Microarray,,,,,,,,,,,
,PRDX1,Microarray,,,,,,,,,,,
,OAZ1,Microarray,,,,,,,,,,,
,ODC1,Microarray,,,,,,,,,,,
,NUCB1,Microarray,,,,,,,,,,,
,YBX1,Microarray,,,,,,,,,,,
,NOL1,Microarray,,,,,,,,,,,
,NP,Microarray,,,,,,,,,,,
,NFYA,Microarray,,,,,,,,,,,
,NFKB1,Microarray,,,,NFAT,Transcription regulator,,,,,,
,NDUFB7,Microarray,,,,,,,,,,,
,RPL10A,Microarray,,,,,,,,,,,
,MYC,Microarray,,,,GATA3,Transcription Enhancer,,,,,,
,NCL,Microarray,,,,,,,,,,,
,MMP2,Microarray,,,,,,,,,,,
,MSR1,Microarray,,,,,,,,,,,
,MFAP1,Microarray,,,,,,,,,,,
,MBD1,Microarray,,,,,,,,,,,
,SMAD1,Microarray,,,,,,,,,,,
,LTB,Microarray,,,,"NFKB1, EGR1, SP1, ETS",Transcription factor,,,,,,
,LGALS8,Microarray,,,,,,,,,,,
,JUN,Microarray,,,,SWI/SNF COMPLEX,Transcription factor,,,,,,
,LCP1,Microarray,,,,,,,,,,,
,ITGB2,Microarray,,,,,,,,,,,
,ITGAL,Microarray,,,,,,,,,,,
,ILF3,Microarray,,,,,,,,,,,
,ILK,Microarray,,,,,,,,,,,
,ILF2,Microarray,,,,,,,,,,,
,IL15RA,Microarray,,,,NFKB1,Transcription factor,,,,,,
,IL9,Microarray,,,,"JUN, RELA",Transcription factor,,,,,,
,IL1RAP,Microarray,,,,,,,,,,,
,IL1R1,Microarray,,,,,,,,,,,
,IGFBP6,Microarray,,,,,,,,,,,
,IL1A,Microarray,,,,"NFKB1, RELA",Transcription factor,,,,,,
,IFNAR1,Microarray,,,,,,,,,,,
,IFNA21,Microarray,,,,,,,,,,,
,IFNA1,Microarray,,,,,,,,,,,
,IFI16,Microarray,,,,,,,,,,,
,HSPCB,Microarray,,,,,,,,,,,
,HSPCA,Microarray,,,,,,,,,,,
,HSPA8,Microarray,,,,,,,,,,,
,HSF1,Microarray,,,,,,,,,,,
,HOXD3,Microarray,,,,,,,,,,,
,HNRPA1,Microarray,,,,,,,,,,,
,HMGN2,Microarray,,,,,,,,,,,
,HMGN1,Microarray,,,,,,,,,,,
,MR1,Microarray,,,,,,,,,,,
,HLA-DQB1,Microarray,,,,,,,,,,,
,HINT1,Microarray,,,,,,,,,,,
,HDAC2,Microarray,,,,,,,,,,,
,HCCS,Microarray,,,,,,,,,,,
,GYS1,Microarray,,,,,,,,,,,
,GNAI1,Microarray,,,,,,,,,,,
,GBP3,Microarray,,,,,,,,,,,
,GATA3,Microarray,,,,"NFATC1,STAT6",Transcription factor,,,,,,
,GART,Microarray,,,,,,,,,,,
,GAPDH,Microarray,,,,,,,,,,,
,FOLH1,Microarray,,,,,,,,,,,
,FKBP2,Microarray,,,,,,,,,,,
,FGFR1,Microarray,,,,,,,,,,,
,FDPS,Microarray,,,,,,,,,,,
,FABP4,Microarray,,,,,,,,,,,
,EWSR1,Microarray,,,,,,,,,,,
,EPAS1,Microarray,,,,,,,,,,,
,FBL,Microarray,,,,,,,,,,,
,ENO1,Microarray,,,,,,,,,,,
,EIF5A,Microarray,,,,,,,,,,,
,EGR1,Microarray,,,,,,,,,,,
,EEF2,Microarray,,,,,,,,,,,
,E2F4,Microarray,,,,,,,,,,,
,DDIT3,Microarray,,,,,,,,,,,
,DOK1,Microarray,,,,,,,,,,,
,DAD1,Microarray,,,,,,,,,,,
,CYBB,Microarray,,,,,,,,,,,
,CTH,Microarray,,,,,,,,,,,
,CSF1R,Microarray,,,,,,,,,,,
,CSF2RB,Microarray,,,,,,,,,,,
,CS,Microarray,,,,,,,,,,,
,COX6C,Microarray,,,,,,,,,,,
,CCR6,Microarray,,,,,,,,,,,
,CCR5,Microarray,,,,"RELA, JUN, FOS, STAT",Transcription factor,,,,,,
,CHRNA5,Microarray,,,,,,,,,,,
,CENPF,Microarray,,,,,,,,,,,
,RCBTB2,Microarray,,,,,,,,,,,
,CDKN3,Microarray,,,,,,,,,,,
,CDKN1A,Microarray,,,,,,,,,,,
,CDK7,Microarray,,,,,,,,,,,
,CDK4,Microarray,,,,,,,,,,,
,CD86,Microarray,,,,,,,,,,,
,CDC20,Microarray,,,,,,,,,,,
,CD28,Microarray,,,,,,,,,,,
,CCNA2,Microarray,,,,,,,,,,,
,CASP2,Microarray,,,,,,,,,,,
,C2,Microarray,,,,,,,,,,,
,CCND1,Microarray,,,,,,,,,,,
,BCL2,Microarray,,,,MYB,Transcription factor,,,,,,
,ATP6V1E1,Microarray,,,,,,,,,,,
,ATP5D,Microarray,,,,,,,,,,,
,ATM,Microarray,,,,,,,,,,,
,ATP5C1,Microarray,,,,,,,,,,,
,ATF4,Microarray,,,,,,,,,,,
,RHOC,Microarray,,,,,,,,,,,
,AP1B1,Microarray,,,,,,,,,,,
,ADA,Microarray,,,,,,,,,,,
,CCND2,Microarray,,,,,,,,,,,
,IER3,Microarray,,,,,,,,,,,
,IRF4,Microarray,,,,"NFKB1, RELA, REL, NFATC2",Transcription factor,,,,,,
,CCL3,Microarray,,,,,,,,,,,
,CXCL9,Microarray,,,,,,,,,,,
,BCL2A1,Microarray,,,,,,,,,,,
,REL,Microarray,,,,,,,,,,,
,CXCL10,Microarray,,,,,,,,,,,
,RELB,Microarray,,,,,,,,,,,
,CXCL11,Microarray,,,,,,,,,,,
,CCL20,Microarray,,,,,,,,,,,
,VIM,Microarray,,,,NFKB1,Transcription factor,,,,,,
,BMI1,Microarray,,,,,,,,,,,
,ORM1,Microarray,,,,,,,,,,,
,IRF1,Microarray,,,,,,,,,,,
,ABCB1,Microarray,,,,,,,,,,,
,IL8,Microarray,,,,"NCEBPB, RELA,JUN, FOS,NFAT",Transcription factor,,,,,,
,NFKBIE,Microarray,,,,,,,,,,,
,CD83,Microarray,,,,NFKB1,Transcription factor,,,,,,
,IL23A,Microarray,,,,,,,,,,,
,NR4A2,Microarray,,,,,,,,,,,
,PSMB9,Microarray,,,,,,,,,,,
,MTHFR,Microarray,,,,,,,,,,,
,HLA-B,Microarray,,,,,,,,,,,
,NQO1,Microarray,,,,,,,,,,,
